0.003,,0.0028509317
0.034,,
0.004,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.004,,
0.002,,
0.002,,
0.003,,
0.003,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.003,,
0.003,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.003,,
0.002,,
0.004,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.002,,
0.002,,
0.003,,
0.002,,
0.001,,
0.003,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.002,,
0.003,,
0.003,,
0.003,,
0.003,,
0.004,,
0.003,,
0.003,,
0.003,,
0.003,,
0.003,,
0.004,,
0.006,,
0.005,,
0.005,,
0.005,,
0.004,,
0.003,,
0.004,,
0.003,,
0.003,,
0.004,,
0.004,,
0.003,,
0.006,,
0.003,,
0.003,,
0.005,,
0.003,,
0.002,,
0.003,,
0.002,,
0.002,,
0.003,,
0.002,,
0.003,,
0.003,,
0.003,,
0.003,,
0.003,,
0.004,,
0.005,,
0.003,,
0.005,,
0.003,,
0.004,,
0.003,,
0.003,,
0.004,,
0.004,,
0.004,,
0.004,,
0.004,,
0.004,,
